main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,ids,sp_type,user_specified_id,object_number_id
HD  91833,158.92431243062,-35.571818764899994,0.0368,0.0389,90,O,2020yCat.1350....0G,HIP 51854|Gaia DR3 5444149949974736000|TIC 53859027|CD-34  6833|CPC 18  4915|CPD-34  4197|GSC 07193-01930|HD  91833|HIC  51854|PPM 287876|SAO 201543|SRS   9788|TYC 7193-1930-1|2MASS J10354184-3534184|Gaia DR1 5444149945676337152|Gaia DR2 5444149949974736000,K0/1III(+G),HIP 51854 ,26
HD  80986,140.71926294056,-4.8544806424199995,0.1796,0.1911,90,O,2020yCat.1350....0G,HIP 46000|Gaia DR3 3825052866856076544|TIC 356372068|BD-04  2603|GSC 04889-00721|HD  80986|HIC  46000|PPM 192312|SAO 136798|TYC 4889-721-1|YZ  94  3635|uvby98 100080986|2MASS J09225261-0451161|RAVE J092252.6-045116|Gaia DR1 3825052862560623104|GEN# +1.00080986|Gaia DR2 3825052866856076544,A8III(+F),HIP 46000 ,27
HD  95114,164.66842271185,-26.111617395140005,0.0139,0.0115,90,O,2020yCat.1350....0G,HIP 53658|Gaia DR3 5457231011608142592|TIC 393419956|CD-25  8358|CPD-25  4660|GSC 06639-00736|HD  95114|HIC  53658|PPM 258365|SAO 179390|TYC 6639-736-1|YZ 115  8538|2MASS J10584041-2606418|Gaia DR1 5457231007311332992|Gaia DR2 5457231011608142592,G8(III)(+F/G),HIP 53658 ,28
HD  65944,120.07660122261001,-26.591657889630003,0.0103,0.0144,90,O,2020yCat.1350....0G,HIP 39132|Gaia DR3 5601261915257633280|TIC 130529461|CD-26  5341|CPD-26  2881|GEN# +1.00065944|GSC 06562-00559|HD  65944|HIC  39132|PPM 253626|RF F7-2|SAO 174961|SKY# 15013|SRS   8104|TYC 6562-559-1|UBV M  13898|YZ 116  5797|2MASS J08001838-2635300|[L69b] 4+  8|UCAC2  20816118|Gaia DR1 5601261910953254656|Gaia DR2 5601261915257633280,G8III(+G),HIP 39132 ,29
HD 217960,346.17173594405995,-35.13038932672999,0.2085,0.2167,90,O,2020yCat.1350....0G,Gaia DR3 6554467195773195136|TIC 155081823|CD-35 15643|CPC 18 11786|CPD-35  9355|GSC 07512-00342|HD 217960|HIC 113961|HIP 113961|PPM 303344|SAO 214291|TYC 7512-342-1|2MASS J23044120-3507495|RAVE J230441.2-350750|Gaia DR2 6554467195773195136|Gaia DR1 6554467195773195136,F8V(+F),HIP 113961,30
HD  84663,146.7045706897,-1.2952578502799998,0.0155,0.0158,90,O,2020yCat.1350....0G,HIP 47982|Gaia DR3 3827711932648497024|TIC 286131604|AG-01 1428|BD-00  2246|GSC 04895-00556|HD  84663|HIC  47982|PPM 177973|SAO 137119|TYC 4895-556-1|YZ  91  2932|2MASS J09464909-0117430|RAVE J094649.1-011743|Gaia DR1 3827711928353180160|Gaia DR2 3827711932648497024,F0/2+(G),HIP 47982 ,31
HD 163604,269.63111844925,-36.44958106331,0.0587,0.0507,90,O,2020yCat.1350....0G,HIP 88000|Gaia DR3 4037415424569754752|TIC 113036828|CD-36 12055|CPC 18  9132|CPD-36  7829|GSC 07390-03025|HD 163604|HIC  88000|PPM 297072|SAO 209535|TYC 7390-3025-1|2MASS J17583147-3626586|Gaia DR1 4037415424569754752|Gaia DR2 4037415424569754752,B8/9+(G),HIP 88000 ,32
HD 198195A,311.79134134450794,42.40984467517278,0.0265,0.0268,90,O,2020yCat.1350....0G,AP J20470991+4224352|IDS 20436+4202 A|HD 198195A|BD+41  3884A|Renson 55170|WDS J20472+4225A|TYC 3174-786-1|GEN# +1.00198195A|CCDM J20472+4225A|ADS 14295 A|WISE J204709.95+422435.4|UCAC4 663-092786|Gaia DR3 2066664771658133120|Gaia DR2 2066664771658133120|TIC 366645705|AG+42 1921|CEL   5167|CSI+41  3884  2|GC 28987|GCRV 13040|GSC 03174-00786|HD 198195|HIC 102570|HIP 102570|PPM  60459|SAO  50055|SKY# 39395|TD1 27287|UBV M  25176|[SKV93] 3-215|2MASS J20470991+4224352|ALS 17618|uvby98 100198195|WEB 18585,B7VpSi,HIP 102570,33
HD  17330,41.910855035430004,29.67852787488,0.0351,0.0299,90,O,2020yCat.1350....0G,HIP 13047|Gaia DR3 128904067476795392|IDS 02417+2916 A|TIC 301918605|2MASS J02473859+2940426|ADS  2126 A|AG+29  332|AGKR  2436|BD+29   471|CCDM J02476+2941A|CSI+29   471  1|GCRV  1569|GSC 01793-00058|HD  17330|HIC  13047|PPM  91980|SAO  75576|SKY#  4188|TD1  1663|TYC 1793-58-1|YZ  29  1451|ALS 19965|WDS J02476+2941A|Renson 4370|BD+29   471A|Gaia DR1 128904063180875264|WEB  2634|Gaia DR2 128904067476795392,,HIP 13047 ,34
HD  61827,114.95557449865,-32.5783706766,0.0106,0.0131,90,O,2020yCat.1350....0G,HIP 37334|Gaia DR3 5591991108085821568|TIC 148741077|2MASS J07394933-3234422|ALS   640|CD-32  4266|CGO 166|CPC 17  3493|CPD-32  1668|GEN# +1.00061827|GSC 07110-00168|HD  61827|HIC  37334|Hbg   60|LS  640|PPM 284242|SAO 198264|SKY# 14124|TD1 10725|TYC 7110-168-1|UBV    7377|uvby98 100061827|Cl Bochum   15     4|Gaia DR1 5591991103780844672|UCAC4 288-026440|Gaia DR2 5591991108085821568,O8/9(Ib),HIP 37334 ,35
HD 145414,243.32992407401997,-51.57633703882,0.0137,0.0085,90,O,2020yCat.1350....0G,HIP 79494|Gaia DR3 5934926723231222656|TIC 409492555|CCDM J16133-5135A|CD-51  9884|CF 14484|CPD-51  9067|GSC 08323-01780|HD 145414|HIC  79494|PPM 772287|SRS   1928|TYC 8323-1780-1|2MASS J16131919-5134349|SSTGLMC G331.5745-00.2978|WDS J16133-5135A|Gaia DR1 5934926718899860736|Gaia DR2 5934926723231222656,G8(Ib/II),HIP 79494 ,36
HD 157857,261.57221569867,-10.9929959743,0.0232,0.017,90,O,2020yCat.1350....0G,HIP 85331|Gaia DR3 4165963456443515520|TIC 2202470|ALS  9335|BD-10  4493|CGO 456|EM* CDS  913|GC 23606|GCRV 10076|GEN# +1.00157857|GOS G012.97+13.31 01|GSC 05662-00844|HD 157857|HIC  85331|LS  IV -10    2|MCW  566|PPM 233064|ROT  2448|SAO 160545|SKY# 31469|SRS  14201|TD1 20421|TYC 5662-844-1|UBV   14863|UBV M  22180|YZC 11  5951|[HJ56] 113|uvby98 100157857|2MASS J17261733-1059347|WEB 14408|Gaia DR2 4165963456443515520,O6.5II(f),HIP 85331 ,37
HD  38591,86.69908980324,-3.2646545763800003,0.0183,0.015,90,O,2020yCat.1350....0G,HIP 27273|Gaia DR3 3024003807879956864|TIC 176450580|BD-03  1194|BDS  2967 B|CCDM J05468-0316B|GSC 04772-00974|HD  38591|HIC  27273|TYC 4772-974-1|WDS J05468-0316B|BD-03  1192B|CSI-03  1192  2|IDS 05418-0318 B|** STF  792B|2MASS J05464778-0315526|Gaia DR2 3024003807879956864,A3/5(II),HIP 27273 ,38
HD  46185,97.85098440233,-12.55969198153,0.0295,0.0372,90,O,2020yCat.1350....0G,HIP 31088|Gaia DR3 2952064789303651200|TIC 287910142|2MASS J06312424-1233348|BD-12  1520|GC  8473|GCRV  4176|GSC 05373-02864|HD  46185|HIC  31088|PPM 217314|SAO 151604|SKY# 11261|TD1  7347|TYC 5373-2864-1|YZC 11  1998|Gaia DR1 2952064785002691968|WEB  6192|Gaia DR2 2952064789303651200,B2/3(II),HIP 31088 ,39
HD  99043,170.93810782432,-28.506874120420004,0.0108,0.0108,90,O,2020yCat.1350....0G,HIP 55624|HIC  55624|Gaia DR3 3483360902468848000|TIC 97821576|BDS  5767 B|CCDM J11237-2830B|CD-27  8061|CPD-27  4329|GSC 06662-00579|HD  99043|IDS 11188-2758 B|PPM 730549|TYC 6662-579-1|2MASS J11234515-2830247|WDS J11237-2831B|** ARG   25B|Gaia DR1 3483360898172067584|Gaia DR2 3483360902468848000,G8IV/V,HIP 55624 ,40
HD  46644,98.59025849287,-3.0741001036699998,0.0176,0.0192,90,O,2020yCat.1350....0G,HIP 31344|Gaia DR3 3105145223393497344|TIC 37397960|AGKR  5878|BD-02  1663|BDS  3471 A|CCDM J06344-0304A|CSI-02  1663  1|GC  8550|GCRV  4234|GSC 04802-00983|HD  46644|HIC  31344|IDS 06293-0300 A|N30 1423|PPM 189314|SAO 133424|SKY# 11386|SRS   7146|TYC 4802-983-1|YZ  93  2172|WDS J06344-0304A|2MASS J06342165-0304267|AKARI-IRC-V1 J0634216-030426|IRAS 06318-0301|WEB  6272|Gaia DR2 3105145223393497344,K1/2(III),HIP 31344 ,41
V* V1042 Sco,240.5017388411042,-11.292358069809444,0.0328,0.025,90,O,2020yCat.1350....0G,HIP 78534|Gaia DR3 4343125531641176576|WISE J160200.41-111734.7|UCAC4 394-061203|Gaia DR2 4343125531641176576|WDS J16020-1118AB|** HDS 2261|TIC 49602068|BD-10  4227|CSS  908|GSC 05619-00970|HD 143633|HIC  78534|IRAS 15592-1109|PPM 231096|SAO 159643|SRS  13311|V* V1042 Sco|YZC 11  5553|2MASS J16020041-1117324,M3wkS,HIP 78534 ,42
HD 191756,303.207742151,-34.90641401725,0.0178,0.0153,90,O,2020yCat.1350....0G,HIP 99605|Gaia DR3 6699199317248760704|TIC 278320520|CD-35 13988|CPC 18 10480|CPD-35  8764|GSC 07449-01417|HD 191756|HIC  99605|TYC 7449-1417-1|uvby98 100191756 B|2MASS J20124986-3454229|Gaia DR2 6699199317248760704,K0/2(III),HIP 99605 ,43
